label,wall,floor;flooring,table,ceiling,sofa;couch;lounge,cabinet,cushion,windowpane;window,chair,painting;picture,toilet;can;commode;crapper;pot;potty;stool;throne,door;double;door,curtain;drape;drapery;mantle;pall,rug;carpet;carpeting,armchair,airplane;aeroplane;plane,lamp,bed,shelf,truck;motortruck,plant;flora;plant;life,box,hill,traffic;light;traffic;signal;stoplight,mirror,animal;animate;being;beast;brute;creature;fauna,bottle,book,desk,ashcan;trash;can;garbage;can;wastebin;ash;bin;ash-bin;ashbin;dustbin;trash;barrel;trash;bin,seat,sculpture,vase,fireplace;hearth;open;fireplace,wardrobe;closet;press,barrel;cask,screen;door;screen,railing;rail,waterfall;falls,monitor;monitoring;device
albany,0.2912968204662522,0.29125647001193355,0.2486184465159641,0.25238646040908796,0.25919564182797955,0.2487048652297331,0.24067805139490597,0.23893398057913573,0.17357050609056163,0.18267581725904228,0.20250971812171567,0.20615844620512147,0.15790324358868396,0.21471850966808573,0.1762305949889898,0.13028308373822545,0.1780278731220601,0.10118027959047989,0.09232641152459796,0.08252713236502199,0.1275177549098869,0.10324333749412735,0.11990001660955363,0.10425013536109828,0.09582178017926485,0.10559372146845283,0.08826353584540142,0.07974978495556387,0.037456036930648175,0.0528288004361319,0.040210342078849,0.06523802590367143,0.04772355377213092,0.07838734466955864,0.04192908896127566,0.03238293410686781,0.026034630397593676,0.04826034992453695,0.05338407132527581,0.033592686455109495
amritsar,0.3091354976543425,0.3091081058665417,0.24734935893407056,0.2318046744579662,0.19012263195153326,0.24141651071040823,0.18977028919027758,0.22518795686048468,0.16934842778946207,0.23110958784652913,0.16541522218573748,0.20155792854390292,0.16636566235600692,0.15399203619246057,0.14817163578805564,0.18987944740652593,0.1250654294569833,0.19389130100038837,0.153144926205835,0.12934018116420448,0.0831019110776134,0.11862418382907476,0.09002099196545083,0.06897820030674646,0.14720989458607514,0.059046228023406026,0.06892655964145869,0.0650976588971914,0.07438636172872591,0.05898070756282838,0.07105611066168843,0.051999450265669954,0.0996819741199566,0.07685461812718485,0.07130174889898884,0.029206569514854046,0.04749297450242369,0.022891398166219507,0.034725181315491876,0.04544376500002363
bakersfield,0.2926127257572987,0.2926056026838239,0.24748501217977034,0.23986925864605504,0.2507038599372041,0.20742046825546293,0.2055172007741461,0.25354706430413354,0.19298759272027188,0.2055523489569788,0.19782152448233434,0.16852376546971862,0.11686375115829753,0.21851130744771335,0.19730193250667039,0.15104467865255117,0.1642786181256062,0.11628298085931127,0.12112297146095728,0.09004154974985025,0.12830366114694394,0.10701576721816754,0.09285579033511672,0.10628982440394272,0.10446349842740096,0.1006196961119225,0.0854307541235087,0.0802958256553823,0.060524006471600666,0.08223443638795722,0.0388604721087338,0.06651333510779305,0.03391378330407397,0.09004653370991576,0.02619788863420662,0.04729291935057361,0.03620883215149239,0.046235565322607655,0.08944638552330322,0.04852027705092414
bath,0.297304669023567,0.29708393239897013,0.2568033894361069,0.2640674761198637,0.26132158416895496,0.24233176936029513,0.2574128000710396,0.21075840231297832,0.1839463343178875,0.20957348670550197,0.1661492441252325,0.1899582706512819,0.133036930204855,0.19297851130192983,0.18264059820684617,0.1448894075494657,0.15241984095014097,0.07589635019676942,0.11713888342928692,0.10128845463326447,0.10309927684166285,0.09768986280164065,0.1235120653638554,0.11737773042234068,0.09187815018945769,0.07089393251747884,0.08757923643748008,0.08809185461396381,0.037624958368119875,0.04648428344807292,0.019261011841778895,0.05820829722654943,0.06405586334983407,0.11996276816987263,0.02069866037649319,0.07065261704287773,0.03526558262373583,0.03245283406416146,0.056709255024574454,0.05884917793765758
bordeaux,0.29529502466627916,0.29527897840984507,0.2732212903079097,0.2176556762750905,0.25080781312424344,0.22808208932773866,0.20286098107051012,0.214554077641665,0.23348340417434976,0.20547124145583687,0.21443552684680792,0.17262126480875792,0.13535929823956316,0.13766650079775095,0.18532727574427396,0.14125195106738953,0.21156268812481335,0.12008625920148502,0.12875428411224416,0.04652544728868977,0.10289138220648522,0.11918428879108774,0.13304038044398886,0.11651083534686538,0.10009554922505448,0.0810795456902361,0.09567749964837473,0.06654808775461951,0.08803444695341842,0.04825335465952427,0.04990408696963617,0.06271331416730168,0.03753139820175568,0.0781411554741463,0.041493228706928335,0.06288905507135026,0.04697333386044774,0.05382365588748168,0.054322061656013595,0.0486704796859234
canberra,0.29242225706118485,0.29241222864393485,0.2586928691809658,0.2572639620749382,0.26021427792822827,0.24321690677553523,0.22756373449290898,0.19572133208818593,0.2202277885964247,0.1966281457621728,0.22128752119436046,0.19078718716909682,0.09856022231088614,0.19745171790300795,0.15117872529249288,0.15868513435018136,0.13891248455777236,0.08712207739758165,0.09444913371269704,0.1850388761382596,0.14160684218011874,0.09086958979888057,0.1090654992553969,0.09479429146093113,0.06914100634507994,0.10644882630027407,0.09551932491354971,0.07932667244115725,0.0607645578340357,0.08584794437853632,0.056133560330048585,0.06948224262758433,0.019342699003117494,0.040013494866627794,0.03761703376381199,0.04504438150526856,0.03494142985894931,0.029190597846742335,0.05319868421050676,0.0517752139066604
cordoba,0.3122054604923583,0.3059420023269256,0.24482873991768378,0.24535438008000515,0.2352391891798995,0.23970993190600584,0.20874302223360064,0.1836544504027128,0.22755775200803852,0.20830795807426808,0.15740922660268772,0.18609403793665805,0.13399490367240288,0.12547036010723872,0.14815204797701806,0.17283128622525576,0.18019298789627272,0.15444434897750856,0.17308507310812532,0.07046138209937279,0.10784355257096163,0.1177452965701771,0.11788773840384809,0.08385658495182659,0.08374398835069391,0.078437670913347,0.05936720048629737,0.05873859484880982,0.09790596049180254,0.0816384077986956,0.0809042897514511,0.04927370662562275,0.04520113718805229,0.09333435523492788,0.05437970365785045,0.04543125938830583,0.05916531010613544,0.0474372532779438,0.06890569836049716,0.05357338167034925
denpasar,0.29355154893268537,0.2894631916050436,0.24268478667347643,0.2622412957701804,0.23806737872163558,0.22281600461115067,0.23379926769471215,0.24422508624311703,0.19122012444657874,0.18051504654387282,0.16669245891027282,0.21048931029975004,0.16207671348831956,0.1337313729976008,0.10089228504267549,0.14918656302496047,0.16725869718627515,0.17132061581752783,0.10864932727871747,0.1283960489064732,0.18919713270776717,0.08945219386046845,0.07775749095078828,0.12249675605107145,0.10261648544525862,0.11960107048532938,0.11377412334757621,0.09538788685603802,0.0564994650482237,0.07745438992238401,0.0542830398388761,0.05081073474498333,0.05618093231110772,0.03071647925540825,0.02411939746316442,0.04882588436442106,0.06857483175352401,0.071510691192724,0.07314358049106423,0.07711555591314102
eskisehir,0.30180793118903954,0.30178790435562575,0.24369364723363113,0.22622328981916281,0.25979380170409894,0.24645304931375336,0.22169392359786638,0.220980378131923,0.19602248146595108,0.09075150998359205,0.1669870319186547,0.1600339213498744,0.20701470366982747,0.23392730262018321,0.20365664806840136,0.16732384267239436,0.160212333791378,0.16245056038585765,0.1034467370558155,0.018680179316751838,0.0962496896780648,0.13593082950333027,0.11036569012133761,0.07863731549561209,0.11276147694545512,0.08361522957050495,0.10392166610524174,0.057522043839549314,0.06646610284884846,0.04079566938288463,0.06753806814873282,0.05780396768938693,0.016011911481905162,0.05690881156276683,0.053880554580483006,0.047443840873317454,0.04145220879937675,0.03394335870177766,0.03319618069500426,0.0330791142186278
gaborone,0.30651116007822643,0.3012173963078388,0.22881825939050376,0.19919370845415266,0.24299330237878464,0.2426969171827869,0.20019738551393357,0.19210658331010436,0.19947891461712808,0.16828726957090911,0.17391396184528837,0.10013855853121532,0.22707217963243112,0.20752255635336525,0.20204360300086777,0.19958447802352147,0.12551514005861264,0.17923959965618289,0.1132390563526286,0.09680536307905031,0.10975458810443019,0.12759675874473425,0.11720190502476067,0.09926429482200977,0.10512717834717053,0.07904845290590669,0.11006888705867818,0.05258325889585052,0.08427424359297242,0.07559594334681366,0.056453847676841626,0.04514480976386315,0.019358137299538596,0.04212137884120768,0.04065786927002221,0.09718861177332903,0.07273234724650542,0.04717581953117848,0.03871686207406514,0.03623975503691585
