label,wall,table,sofa;couch;lounge,cushion,ceiling,chair,floor;flooring,painting;picture,cabinet,windowpane;window,toilet;can;commode;crapper;pot;potty;stool;throne,lamp,airplane;aeroplane;plane,plant;flora;plant;life,armchair,door;double;door,hill,shelf,traffic;light;traffic;signal;stoplight,curtain;drape;drapery;mantle;pall,rug;carpet;carpeting,bed,book,box,animal;animate;being;beast;brute;creature;fauna,mirror,truck;motortruck,desk,bottle,ashcan;trash;can;garbage;can;wastebin;ash;bin;ash-bin;ashbin;dustbin;trash;barrel;trash;bin,sculpture,barrel;cask,buffet;counter;sideboard,seat,screen;door;screen,fireplace;hearth;open;fireplace,wardrobe;closet;press,vase,waterfall;falls,monitor;monitoring;device
abidjan,0.2732006693214919,0.2502503937143627,0.2591629009801019,0.2806676121340717,0.23364681788008534,0.22875918862232245,0.1958212134468126,0.2145280776242064,0.23083319109961092,0.15390371448449813,0.1821801638592645,0.18384838042060542,0.18826105088862832,0.21900148402754965,0.1994604898766437,0.12621122098674656,0.07918433269710273,0.17230662154831836,0.14903056773845702,0.11537205906236267,0.13259435475987155,0.11794900321638069,0.15446802697095435,0.08636625071449894,0.14048985564909952,0.08470356036739506,0.10963393067653361,0.07639367643784964,0.11536231893044376,0.05172567816262274,0.06223269992256011,0.04760339313106186,0.0370818024491335,0.07561142971323698,0.04160810623967729,0.03149122385037983,0.03238550838587427,0.04687219081296676,0.018651050317006593,0.03172850245467409
adelaide,0.2689434677432395,0.28647532820251936,0.2917984895482627,0.30145888909800644,0.19717148716714755,0.26673631112002966,0.25256101270158665,0.23709158614035944,0.21868445212442122,0.21514253984279647,0.21104584829620845,0.16413451714066185,0.13350172791059833,0.19024240799312497,0.1768983224049582,0.1563569052630085,0.11192948383533999,0.07362264699414915,0.13851288168647713,0.09866659537077295,0.13744217950891027,0.08555969917986694,0.12073133941202842,0.08002263371159134,0.09195556722418809,0.05437356215111977,0.0948636626630116,0.043164455497772605,0.1137537221400234,0.029407111912903707,0.06336876409946446,0.046339552060020155,0.03300410338270578,0.023567419801053518,0.04337341488184762,0.05489493221527805,0.014798526700668212,0.014729204589027708,0.05624018671111979,0.029517046996876444
ankara,0.3011683884604412,0.27904420657517043,0.30841395193925836,0.29708488961693436,0.2030517947918918,0.2468513422489756,0.23700430716277385,0.17756269597370133,0.20089556690288968,0.2038140430671762,0.20694132797080572,0.1866701464338919,0.1889171390954063,0.10609528016973269,0.18287160945268258,0.1306743030243567,0.10624632149054165,0.1275070374231515,0.12408286136593928,0.1218904574385625,0.1557163686590946,0.11416736786279212,0.09036519584331949,0.11976540073018152,0.08551904535565041,0.07158329380776758,0.04413722122908205,0.06873152380249392,0.06949888423528766,0.07813024489396819,0.0325515154583879,0.027756075245751567,0.03514353668513035,0.08286963034639938,0.02051374345953191,0.056953490793496916,0.051683446856703216,0.009310400247254026,0.051438263473084514,0.0590616500507228
auckland,0.2774246593947268,0.30676612813131154,0.28337647343407374,0.29476202966540116,0.20595938682175893,0.26323197522686514,0.214762026497862,0.24745348301058714,0.19639605708115468,0.24698691816944632,0.19798504130245367,0.14539639260682824,0.16097141399399706,0.20154836716915808,0.11702335465571967,0.1638639660418387,0.10460288396616123,0.0791632480186722,0.1487692497131072,0.08912775174096475,0.10881796641827395,0.09994128761476562,0.1120435217163788,0.08276807391213649,0.11674989595570198,0.08026378139760114,0.1169017314675264,0.07238808074333916,0.06232233694776638,0.06328148179579944,0.07468120910626372,0.05901869383343396,0.023016335010793452,0.034166648648814905,0.0507094834631681,0.0321684005175283,0.031105693179110556,0.015488690084516922,0.02638571359066504,0.04030536063581908
bangkok,0.2905577946078531,0.26757119401537977,0.23801506954686974,0.25185377642587337,0.31925402163381306,0.2573989999910265,0.25354930196440967,0.21449838259147846,0.27233245293445063,0.18866395622684715,0.17116763985599048,0.13043394050148865,0.14310236359223952,0.13707729741584682,0.0946067139523782,0.169790978892202,0.11115419236720382,0.13943105757481142,0.09137708360792746,0.14641819912064027,0.1055044447345957,0.10898585723790484,0.0910197690145447,0.10249524756171988,0.11171130197256451,0.08041580972165846,0.13896092303538624,0.10891147339547731,0.06877889840896594,0.07788869190317761,0.03449410881257477,0.035016657781151234,0.03614242603893227,0.06642489730754896,0.0740679613059806,0.03803642477801576,0.06470433795015067,0.02418197296879882,0.03052302165605334,0.03238823100486664
berlin,0.28117296244115175,0.31094360470042176,0.2578290405828228,0.24979220766802934,0.20773074329170815,0.2601122239441367,0.24632032322204553,0.25796767835625345,0.20806360274533695,0.15873955850438187,0.18518468406322897,0.2559495947855368,0.1284567423893045,0.17845231625812352,0.1459569124071838,0.11649926974005831,0.1582878853151784,0.15077741073018294,0.1129551018807531,0.10877443330712412,0.10466462469372909,0.1433564008886033,0.0981634685891221,0.10307540660556203,0.11072867631761606,0.0574438872925111,0.032827518927302644,0.09997144127536367,0.08494237021347506,0.05442481061068934,0.08902657320900811,0.0436698279762617,0.03638034024435192,0.03660195211715993,0.059485035864613435,0.00955213646432056,0.04536362747317026,0.029464429648033225,0.0718199483119094,0.023343636468780706
bogota,0.30841521029519464,0.2984722491547577,0.2517708943317597,0.20295842012440893,0.2831789538581688,0.26633765871827475,0.21666639949746638,0.23437170035879384,0.22345721519383263,0.254762306525909,0.12705177682874544,0.17487048604557578,0.1472164593271065,0.15388119543406814,0.1414271782062956,0.1708842721158688,0.1332086905535598,0.1607515788379128,0.13177667623556993,0.10309736590401901,0.08557876930955993,0.119363880744513,0.09363877429453356,0.08737380881142573,0.11754530909254057,0.07168520417528251,0.08910604530150121,0.0749917417131783,0.05317668841546477,0.05124321356735057,0.04453037346333618,0.04768939947928591,0.029713527398778236,0.04648773011174898,0.04706825274516927,0.043103389654225006,0.053015240274393687,0.021211866269823056,0.02475793294527788,0.04408256571126569
buenosAires,0.2821859899723368,0.2516986241114432,0.2478002396031825,0.2567187709122461,0.25762121452899667,0.23129556655283875,0.2505965983898941,0.2112957860336062,0.22284846575798944,0.2171780679963289,0.22027416974492442,0.1904774933812796,0.17350511334529328,0.1526502527792738,0.13317800927105275,0.13380445045569322,0.20293371116523445,0.14959072748935484,0.15792359731715166,0.11800258804088581,0.07416188131759703,0.12456882537544378,0.1169503142043576,0.1172395333889437,0.07844212456989048,0.08547482875221846,0.06787762737368075,0.08631000738274083,0.0443648746500243,0.08839573494337599,0.022569811577817272,0.06546718605862022,0.05012403525837484,0.04802127368790287,0.05952163185135031,0.024879416063600866,0.02964033310611386,0.03672877073680433,0.05211984920965779,0.05212558207170389
cairo,0.29346613650793013,0.2576255458621511,0.29933356547365875,0.2696660049257883,0.22557767323695874,0.22809527013352232,0.24383616533054317,0.24681766297552496,0.22142941832805152,0.13361688504606592,0.23517477635327053,0.19753969881398886,0.1771413737044374,0.11192649731424952,0.20975078099646063,0.1303791126362563,0.09784974985384749,0.1330004587385882,0.07923749909405337,0.13008934625744242,0.1707371431166285,0.09111865900332101,0.08393696284731116,0.10068839727201584,0.06092240457600009,0.08999118422215689,0.08607946996702116,0.06091719765325015,0.09703615477032312,0.058971963460917744,0.03983757608391807,0.06283046764407556,0.034312962117603034,0.05078466255446853,0.04675103812960219,0.026993344137061018,0.022224072125827162,0.06357659480495888,0.025718801024813318,0.04766628293058586
capeTown,0.281962286920105,0.28083383022567726,0.23248326841269307,0.28127731872412304,0.21085043918740057,0.21594404292379363,0.22052780915726372,0.23353797327762807,0.21256153972723976,0.23292741709078568,0.21519015835986352,0.19175717824339922,0.11336486380922192,0.19468471905644974,0.17364156668085542,0.15535977869460713,0.16805808704043082,0.12801881927409517,0.19614018140207257,0.10299036759160368,0.1272652713272124,0.08838420905535717,0.13120079421571773,0.10067329912668349,0.1072033626707642,0.07311511117841686,0.0794466208609191,0.04762026584578899,0.054899866942475437,0.07951178934592441,0.06168237353944669,0.04206618989672127,0.04841821612898161,0.03659758365946186,0.029439621745162486,0.060276826448666276,0.047440405663044374,0.025072781459058866,0.05858596209365369,0.0745630733893859
