label,wall,floor;flooring,table,sofa;couch;lounge,ceiling,cabinet,cushion,windowpane;window,chair,painting;picture,toilet;can;commode;crapper;pot;potty;stool;throne,door;double;door,rug;carpet;carpeting,curtain;drape;drapery;mantle;pall,lamp,airplane;aeroplane;plane,armchair,bed,shelf,hill,truck;motortruck,plant;flora;plant;life,traffic;light;traffic;signal;stoplight,box,mirror,book,animal;animate;being;beast;brute;creature;fauna,bottle,desk,ashcan;trash;can;garbage;can;wastebin;ash;bin;ash-bin;ashbin;dustbin;trash;barrel;trash;bin,seat,sculpture,wardrobe;closet;press,vase,screen;door;screen,fireplace;hearth;open;fireplace,barrel;cask,railing;rail,refrigerator;icebox,waterfall;falls
abidjan,0.2972833350643167,0.29727482635322705,0.2551364415918731,0.2644286143379339,0.23035815816734576,0.23495915181214252,0.2254438166334291,0.16589588283489676,0.19620200426712475,0.1807503874473322,0.2287912113406599,0.15731623349895854,0.1991607942155391,0.1551703777089212,0.17268795376416993,0.1721606166551509,0.18242005479732376,0.11449722716750092,0.15337353760303768,0.09828393604462937,0.09931363338601124,0.14380892618391233,0.12259496637645463,0.10208581113908184,0.09726961286410295,0.09997049932531617,0.09489194349225376,0.08960786197356323,0.08455308297545303,0.053539369589567544,0.0820400313554504,0.050542210709037465,0.03547465566321443,0.05419136023713753,0.036512893040652986,0.028421651327193393,0.040782971628505915,0.029814330971816343,0.023288026763732924,0.020826623150723814
adelaide,0.29716184139260016,0.29714406295023926,0.25717784253135806,0.28362473545697847,0.2523467707758348,0.23591764844815802,0.24985574223560283,0.2107050681252412,0.20349431143284327,0.19399955653498677,0.22557944639620822,0.21141745645427643,0.20147255599179448,0.13049395572170705,0.14173156414679772,0.14460261413289735,0.17113715695301257,0.089643291481656,0.07270811609134542,0.09423038149896258,0.14078080722232714,0.12649753691752735,0.11362206648053032,0.08465484353173942,0.06059003679699744,0.07772092762386609,0.07804101904979473,0.10544081612476125,0.04942467261610171,0.0439918644042914,0.03422309091480023,0.06848245155472754,0.024667108126516374,0.03746677155165862,0.030942044223683185,0.058766704073977674,0.0459108928415869,0.03240030767616077,0.04408659925203145,0.057407163538785964
ankara,0.3070283452998093,0.30701900341352883,0.25622057268238646,0.2775943784532255,0.24549789560148746,0.23283663156246243,0.24009351960965333,0.20542613382165723,0.1905539241060246,0.12830990129987124,0.2005333839859317,0.16949761893191906,0.2205027496736187,0.20783918724056422,0.1740217100341638,0.167319849342949,0.17450061520320576,0.11498777748333021,0.11923269302994756,0.10179524997999922,0.08178164384479271,0.0709692707907936,0.08529993750512305,0.11615820884733105,0.08104469198032682,0.062189541464304075,0.06103938004085695,0.07224745703232,0.055896800058579,0.07862669117695067,0.08083396590455572,0.04567486354723816,0.045954115333851554,0.01574487772363427,0.035545564343924245,0.05375056371563343,0.02499148820615008,0.04376521724535452,0.0476688093695434,0.03790526347839358
auckland,0.2985045666937143,0.29841494031174454,0.2663702276136078,0.2619442707169676,0.26861760306136445,0.2082128285608585,0.245990255556784,0.23383199374030758,0.2080523669892689,0.21881044354083082,0.20378765371471305,0.18806690073080481,0.16091183536675632,0.13389967672388764,0.12639637748084914,0.1400791938164398,0.13430593706849098,0.11502552395467872,0.07129408911990757,0.07795224458739237,0.19940721281520654,0.14133790334013743,0.12223719290772361,0.07802722713258911,0.09645431020811665,0.09187561470820485,0.10411606039858488,0.06632180062246476,0.06081252265154771,0.05813782428848295,0.04030611079650757,0.059003001308022544,0.036741968743529196,0.020157170902504407,0.05599955951240313,0.03499500887825983,0.05304087297649912,0.040980456783567966,0.05036953334480985,0.02734524045080901
bangkok,0.31756664551096875,0.3175556590057664,0.25508901833964953,0.24529435573067573,0.27742775608394604,0.2626457736018325,0.20108333783000756,0.22651465508899601,0.1924295619641713,0.15085446557515794,0.17632831423736173,0.2153863962506791,0.1373900052353702,0.19054185720883046,0.11715495029925632,0.1735259029223764,0.10695369309518693,0.15820967909688496,0.12310849919637809,0.08600285643462698,0.1532883513206186,0.09019093070648747,0.06246607317732457,0.09637524719967572,0.10998277656439902,0.07646791054912394,0.07681065365789098,0.07925004837820213,0.0967131841353882,0.054314764651673356,0.05793137111193528,0.03605689301672915,0.07781648939245518,0.03085062459586145,0.07056307502225997,0.04787324742168157,0.020633959868172173,0.03376441921966961,0.07084708008067366,0.03179590759259259
berlin,0.3071168727346128,0.3054721657635592,0.2752021662103033,0.2588918534220634,0.20207059159271398,0.22219009284558425,0.2373803440561506,0.21214514112792882,0.2102856878333816,0.22393336967136787,0.17864453932852023,0.16443650384129044,0.15167459351587964,0.1691852704618572,0.2131465170332121,0.13092151862867055,0.15290326215045832,0.14981828564083877,0.12587685281779418,0.13325313457205984,0.032294185901065024,0.1210030654092642,0.10576516694280595,0.12450700380222186,0.08016409611331309,0.08486480153136479,0.08947086310713148,0.0936409797252947,0.09244347653767346,0.05258449406206389,0.037752969554930786,0.08249387293534939,0.05391475182746789,0.03258517977153313,0.06448257496698802,0.01661070864813672,0.04205305791874578,0.033663657626393347,0.0259107245614113,0.05864597173444482
bogota,0.30121401997341885,0.3012128080062871,0.2707446923682488,0.2654789814944963,0.271594036705081,0.24592376047063813,0.195525502471348,0.25012421768553106,0.23012893394939715,0.20405466714942844,0.15582592817897986,0.17112028892002873,0.15799309980701004,0.11855872443979826,0.14071224221039183,0.12520611411845373,0.13237723688049222,0.1341227992027113,0.1584369691059173,0.11811773039999247,0.16438439043633044,0.10833352010452542,0.10451599833321072,0.0952223202242325,0.0941322541812373,0.06692441498991397,0.07721839565600978,0.06161919578516596,0.06837122773519602,0.050023185175427386,0.05664692380901029,0.04307655946175509,0.06671918894094439,0.035481093255949,0.05433707737540436,0.03990079800020609,0.05009671200763191,0.041235335092519504,0.04208819180120193,0.0225418402940198
buenosAires,0.31497102787449593,0.3117946756841869,0.27336436319748214,0.23747812176257604,0.23807245172308314,0.23400111431972404,0.22254575747251268,0.22452051148385185,0.22053065388229975,0.18508544109647435,0.20955790476137257,0.18558177790238822,0.09791970417099069,0.14909011665585728,0.19146839956928013,0.17674152185964953,0.12075597619314836,0.14099881194377892,0.13655382873655275,0.15728915227323603,0.0883102170145448,0.09855336620814178,0.12112854561237482,0.09857721316943258,0.09394162209049946,0.08541128018153807,0.06073755046000219,0.05907764138971739,0.09442224531712382,0.07181889572660234,0.04899545435917277,0.02918742175903906,0.05229004954606763,0.03481591372657666,0.059058429271466394,0.021629597843316983,0.04339009968298073,0.043366694813361494,0.034167638380951694,0.045125460157971954
cairo,0.30278231528759214,0.3027708757879751,0.2520689358740365,0.2647035326515586,0.25859361962052674,0.22644376575267544,0.22503226683709082,0.17804956652859483,0.19597996554183514,0.17906404129686407,0.21933437218921203,0.16683347943378596,0.22507985614988854,0.20893508478024783,0.1794326283829961,0.16880618643472026,0.19074158551226436,0.09486522247281316,0.10929814925259948,0.08055767354508453,0.09998312617644652,0.08705604881919314,0.07469215963215348,0.10256767464176955,0.09343577666694093,0.06866953044755682,0.055593018153927594,0.08527174635988498,0.057039676913053165,0.05012499955578696,0.06161987108877877,0.04270118485744094,0.03218904669136721,0.08014163942252105,0.03276026877722324,0.03258111416199205,0.049256626514442035,0.03512080286500657,0.03702802559062841,0.03210620245443275
capeTown,0.2902427552267101,0.29022151465860396,0.24278705886374674,0.2563029792629282,0.2541149033043132,0.21472739633524948,0.2450366674275437,0.24052475122640804,0.20069710367105892,0.19591516413591056,0.2255343189403448,0.17746154620655064,0.2021660779789279,0.14620887872625207,0.18133477485538155,0.11112606406480482,0.17890274482174745,0.09693074586371524,0.11097755544108065,0.13480472994266562,0.1092821541709799,0.12235705230338347,0.14229226305890097,0.08478452074538805,0.09053946867788024,0.10035839942475676,0.07866037367188558,0.08626099991598062,0.040646452893310876,0.06275818792481022,0.03777248241404888,0.06368342786562313,0.045916363318112184,0.030642256287908884,0.043755508765908835,0.058996721758135647,0.04305631118936573,0.0439005017812301,0.02853603704032747,0.04422842634452523
chennai,0.34983779664477743,0.3472675811589365,0.28631024668124055,0.2544624358383378,0.24715501371356283,0.2778276989574622,0.14099614848783704,0.21272318218432862,0.24108608409001211,0.15163839072355648,0.16401268696284638,0.21826086158035835,0.09394947882821884,0.18552758445465098,0.10436952026414188,0.19180560560289966,0.15747080548703232,0.13718238730843277,0.09006472903457877,0.07039843106318698,0.09150674539760756,0.05818079697598507,0.05964380624972256,0.08254696698679269,0.11263275501567462,0.054552481148643674,0.03546275290911395,0.04762858649714097,0.09835997301694975,0.03843432706929347,0.05092958359912242,0.047512845841496454,0.06936070160361146,0.09206985081957451,0.038213283341143295,0.017719506778497044,0.020089624839779583,0.04234434079594,0.03695567556578618,0.009732260029552622
chicago,0.30043752163778176,0.29889913722436595,0.2582663335340536,0.26228714197941744,0.25054518428115524,0.21385971649808072,0.24326756874443725,0.22521807134085883,0.17889528841249688,0.22377516698410205,0.21376441259716214,0.15238530806251274,0.20038248741148842,0.1199455797479911,0.19505762636752458,0.14969328345796404,0.17631561510581525,0.10038098140717738,0.11625799074132141,0.141130247350663,0.11303817874089454,0.09824580261455089,0.09908365917998002,0.12121018746876508,0.10074161272633084,0.06857619099817179,0.05656944743975594,0.1096049961185024,0.05183786101155115,0.05725220775214685,0.0406409822186439,0.06698109093441838,0.03399482132376549,0.02374772854354545,0.04206885527871387,0.07257020397765382,0.054494479090166616,0.036698930335972074,0.02147656340241839,0.0511455941651002
delhi,0.3056654172441383,0.30353046043471027,0.2548157267275542,0.21691442479396164,0.25087159026747274,0.2195487146941875,0.21545312545516837,0.16783002503729275,0.20433944280538466,0.21346698406215414,0.17660019644116548,0.18750245052296993,0.17719810525841856,0.14767564376581463,0.1475982149232871,0.14997206421012302,0.16710640597518087,0.18563299821687682,0.12239733479399538,0.11725100822414411,0.12104485605221145,0.10075782992552253,0.09895989173086431,0.14095818548392477,0.10960103332694374,0.08188723513999542,0.08576137984662999,0.09254720724363022,0.07089063120567922,0.08772898865097015,0.049150732670443086,0.054869854325899456,0.07567924350410098,0.10874100441959432,0.06333251599277893,0.015726141338381776,0.040097605588320324,0.039204119848342614,0.0195953229329055,0.04474824674709313
dhaka,0.3241072003188113,0.31806930054349314,0.25899811783909044,0.22776360436610754,0.25941990730364606,0.23618621511799756,0.20731137093017263,0.17927403652525825,0.17181999207488755,0.16957503982546535,0.17239866367624362,0.19000962397101887,0.1136955702404788,0.2590240914762228,0.12863022733731538,0.1282954264603298,0.19149470833716245,0.17602142576148663,0.12241001367891725,0.07916834660729213,0.09873922976737845,0.09832766696170434,0.09236489540336894,0.1064255853764901,0.10680399870455445,0.09574250634654918,0.04865336074273776,0.0471400783379417,0.07152590456637267,0.05241465705598564,0.06561268649782706,0.05020066200029687,0.11298842188953379,0.08824919401636253,0.03882638639186198,0.05438808918267722,0.026626609430678544,0.06425330584172734,0.029788753281041417,0.045587132358197446
dubai,0.2943606376107473,0.2927546908296618,0.26412170344280655,0.25618084650619677,0.2678391512262956,0.2049988001627769,0.25092959161686046,0.21145551891139797,0.20895081044726543,0.18891388723261196,0.23309411749527412,0.1561572749245122,0.21300756369183485,0.17774099581314798,0.196285245209435,0.09203562114999647,0.15411495236808653,0.10522559926204501,0.07426825769855176,0.10333450741690685,0.14213805149958267,0.13031351928546092,0.14058743911757737,0.07060266082261214,0.10316693371163346,0.11727359366597548,0.07691926549460067,0.06630776810191079,0.05543697096211708,0.06083957273454777,0.03434392940733428,0.04048588272247582,0.03962651901490636,0.027371435222878587,0.06132981491674295,0.01977958707260716,0.03666138848393926,0.03499754350009491,0.027324016827097522,0.02335999018922384
hongKong,0.2912165147588538,0.2911906473114854,0.26419622370890483,0.23614430898804045,0.2365005408672865,0.26727141212650957,0.2036913281154627,0.23219972511064188,0.18323226984786142,0.20860673343139205,0.13783536828879062,0.18703538354622512,0.1105994040300379,0.15948136923351,0.15163359627222778,0.1988838210511132,0.12190772888851005,0.14225443156254863,0.14874215666833077,0.12189212953752485,0.09347468840503005,0.12008649737461544,0.10419051775558984,0.12049361574265538,0.12226193299890903,0.10079237394651436,0.11458812325306997,0.07275390387221564,0.10145529505099889,0.08124882199641548,0.08770832443848209,0.05731459737705726,0.045270438442075345,0.04728275429977911,0.06158304402035484,0.041961408062422344,0.03640306240992059,0.03938059977330388,0.06777315773414784,0.04298795944554829
istanbul,0.29831945123466347,0.29830694140752106,0.2755806142747049,0.2594021443458145,0.2370378073127837,0.2381488917919809,0.22162206542164137,0.20500460098595197,0.20473448098228195,0.18803804316269207,0.18892899521298803,0.1543557915473236,0.19749861445167938,0.17491195777421759,0.19225418259956098,0.15813208591267927,0.17801316911613657,0.12477307221679419,0.11947853652166456,0.15720738621091376,0.06096387918263138,0.10731976084945521,0.11230609816202318,0.09464734803379114,0.06207677925226745,0.08765312959662176,0.08097257256133171,0.07937810432499248,0.09253844099200928,0.06319738185228105,0.04273616440356466,0.04104647997405495,0.043491415409706496,0.036888594696412536,0.05028411269120374,0.03733375655997155,0.04872825556570188,0.039628804898514745,0.023410245169986604,0.03456922718419451
jakarta,0.3277685572429436,0.3111500529902904,0.24936743310528492,0.214187282906314,0.25092666389114365,0.27299172798638754,0.17019230039253566,0.22636819965270252,0.21674984301477718,0.15484434443993714,0.15007349521064894,0.1706448153946322,0.10879245115308651,0.21803058182966947,0.14911565730696155,0.18164270326775422,0.09736913470604991,0.12209394898955575,0.16615349255104342,0.08310631250919083,0.14394006486475747,0.06938825167358703,0.08850876801682225,0.1165669958328263,0.09142436651007756,0.10086677828926342,0.08795570215449543,0.06216746501544452,0.1304112074695977,0.05682561878310088,0.0553592439134557,0.0456469925827474,0.06189261887395828,0.016071819454669064,0.026092490509365934,0.02953268425712458,0.06487046324249048,0.06047992232999817,0.07671609648451219,0.02886100224478894
kinshasa,0.32085257989817434,0.3169327354095725,0.275381926194856,0.25017549473623624,0.2611547038205586,0.27985202253844693,0.17581184138907252,0.17904826444202068,0.19344580316087578,0.1277618681864595,0.23434322020362347,0.15956849745591126,0.16455832020135838,0.2343749039391914,0.1235118767285432,0.23074496146867274,0.21878534888850099,0.05447448357309897,0.14048735240919732,0.06715719091470866,0.10739208018550767,0.046610838141632756,0.02180428106723138,0.08766535561402132,0.0459339780110526,0.031104481059374182,0.03317424452692538,0.07024567608121908,0.07369531780941187,0.045787886306389754,0.057848478188211414,0.03478141860335432,0.015496848350831245,0.1223941350862142,0.022815649402501182,0.027176525046593576,0.01531730865977167,0.056406799439441956,0.035706095025609105,0.011529875921137321
kolkata,0.31024945586842945,0.31023104488053665,0.26935544546043283,0.20210942480371713,0.24266698297591044,0.24057405761637107,0.1902356330545136,0.20052251202773624,0.1951253355745646,0.2042765057735753,0.1661604628356535,0.18325961234313798,0.1506897507524388,0.2120354034329258,0.12424445344472053,0.19563452819102595,0.1572566354135212,0.19030927388403918,0.1441485957800471,0.10359898062913712,0.10729069444307703,0.08886357681123094,0.09369049316555791,0.10395127600578143,0.10666591644158135,0.06496281489860455,0.07561081782184512,0.07003441066018097,0.08591096372882885,0.036263914609995694,0.06565419199728381,0.05727280786191579,0.08252187764953003,0.08671741493563699,0.050794831996214984,0.03266576682936897,0.06347921815986979,0.03754473823090014,0.043421907665156474,0.019467381138444262
