label,wall,floor;flooring,table,chair,cabinet,sofa;couch;lounge,ceiling,windowpane;window,cushion,door;double;door,toilet;can;commode;crapper;pot;potty;stool;throne,painting;picture,curtain;drape;drapery;mantle;pall,lamp,airplane;aeroplane;plane,armchair,bed,shelf,rug;carpet;carpeting,box,hill,traffic;light;traffic;signal;stoplight,plant;flora;plant;life,mirror,truck;motortruck,animal;animate;being;beast;brute;creature;fauna,desk,book,bottle,sculpture,seat,wardrobe;closet;press,ashcan;trash;can;garbage;can;wastebin;ash;bin;ash-bin;ashbin;dustbin;trash;barrel;trash;bin,barrel;cask,fireplace;hearth;open;fireplace,railing;rail,screen;door;screen,waterfall;falls,vase,coffee;table;cocktail;table
kandy,0.3062888475025134,0.28337571256240135,0.27329092893025886,0.3049775524729585,0.2397619460918341,0.21597803825273654,0.20328643288202997,0.2584972294444444,0.24528799026394357,0.21088193549651466,0.1612897259678821,0.19461841386921522,0.2460559617893368,0.13278227523052566,0.06830135103721037,0.2352539768246676,0.11335743936329186,0.06294330422621754,0.10859085424027187,0.09186374668122059,0.05656640106453342,0.13676000276783976,0.0623765737914851,0.05384778965904497,0.042493096796559986,0.057606419322147995,0.05640410557206394,0.028969207093645793,0.07305921224961968,0.06817959940342644,0.058287336862130924,0.05052418064896886,0.061101580812894477,0.049680171563453564,0.03066242992262586,0.05113231372701265,0.09280141877730017,0.01119044443627839,0.0644750897900147,0.0007084675564194391
lalitpur,0.2972189787705017,0.3180729189219917,0.3522871903021214,0.24516128746100854,0.21129543826625985,0.16951414515181823,0.23031426857235168,0.26230494106585384,0.13136192621776202,0.15974449306586666,0.19349193465266876,0.13993587677916983,0.3153643130844491,0.16598227809060126,0.10425538244069096,0.07588953894035969,0.1491425864279575,0.07965891667353082,0.10050861174455561,0.09726674932741806,0.10612168256947507,0.12304937780767022,0.1055786678574589,0.053067017685977096,0.10199363546841213,0.07888120807369207,0.0686554564814541,0.13631382808805736,0.034185098373838915,0.02061055085464772,0.06641926541545629,0.0664597547035577,0.017571843877021757,0.04965822471288221,0.01238241017025267,0.013596191787566209,0.035444769392225794,0.04796769052407725,0.06755956183190374,0.029643351277642276
luxor,0.28237805889173323,0.3157792194242944,0.26202548960338456,0.19456470146042712,0.2867831641896144,0.12490879838572394,0.21151347688338915,0.2604994921608452,0.17052079367511233,0.19257346647928938,0.18901106465832415,0.1911990822808448,0.1832132461591203,0.19742867918999582,0.05814227578656146,0.17971283929405926,0.116476325984371,0.13187952940937414,0.20827127225670058,0.17434318037256083,0.1460773778791532,0.014938190143330567,0.039569608750928256,0.10285714156646801,0.005369029572521314,0.0,0.03022787368560833,0.07102665618665496,0.012544331267165868,0.027520626526497956,0.07799089985194438,0.014073494788815687,0.09166298613776122,0.0407834600059263,0.0019992639997813617,0.12385094176314722,0.04688121579489071,0.035167837285661065,0.13728958875205696,0.0
madison,0.34681370078067175,0.27336767286385794,0.29014126717746613,0.22090096884703386,0.18737899617433615,0.20182896085992308,0.25594481842724004,0.2073547385872265,0.10345142934514902,0.17582982557328095,0.14698297875583127,0.25488601434106767,0.15133438714345862,0.22193514965544128,0.14446206436501088,0.1635981335816222,0.07662756774462542,0.12981851422754853,0.16613021728807212,0.13032444307954094,0.11091588435485887,0.08264819382202591,0.10756894361954432,0.1503647570492593,0.07841289653210234,0.12517452262506193,0.05303997835042134,0.08874586368207958,0.051552528553356514,0.09502420614765085,0.017931594567611637,0.0006272842745432093,0.05126316931443811,0.04253741421577359,0.08957588040344122,0.044704476617575185,0.023198282702184023,0.08261652523453139,0.10008306383721,0.06204224851727526
malaga,0.29502992929300764,0.3026788446763365,0.26949215457559833,0.23430390553281424,0.20733190989809316,0.20790089632759864,0.1878894308803952,0.23846503381051606,0.22532995836084801,0.15759652220661655,0.2604683462691594,0.1286324718132389,0.11906553492777416,0.19652166983825847,0.1386715458968439,0.12161612291531207,0.10841798751871033,0.17362118783502845,0.12862871213389765,0.16020065530728822,0.14571881590184393,0.14507030055461712,0.13728438885176755,0.06484029634434621,0.05408841749527382,0.12272302117499545,0.03868305364924543,0.05317581888631989,0.08446447091130034,0.05573924199930537,0.04392849057538988,0.04382055084204685,0.1458039585864242,0.05452959848292792,0.06871514643276001,0.05532824707840766,0.0501728774553796,0.08257612447601455,0.049524197015376734,0.04203153256201
manama,0.2623220457049799,0.27346578615730205,0.2715936680235599,0.21867247178044588,0.2283671324194052,0.313375079789463,0.20486441329033545,0.20669968234572592,0.26971362151456785,0.13175270130684588,0.20862585730962474,0.1968580357860988,0.23701029679323243,0.15349188214351658,0.1401026594510319,0.18047824242537888,0.07379875026973196,0.12680478545248405,0.13886634581883597,0.09609133573405383,0.1106093926500326,0.06354379481201766,0.04784476811093891,0.13112031464225304,0.1565307222944641,0.06171164767108856,0.09931276420171206,0.09583213815551472,0.08564448250335922,0.05819923430873909,0.041735340743808004,0.027166125725774464,0.040028336643196,0.046671692758424026,0.06095689741656839,0.045188685598076525,0.05782236707022882,0.0,0.005712340641950627,0.025500356873043414
margaretRiver,0.2992011600568088,0.259789032450222,0.28251416736349705,0.2903457297828258,0.26162637904688757,0.2494000605917118,0.1936796097158284,0.2305190513810575,0.27669942058444497,0.26173261980164725,0.1809735548071428,0.18635353400111168,0.12946517905661248,0.1477589568572752,0.11502981663784125,0.1196920791400755,0.06894699958363161,0.09422958747833379,0.10217826411833872,0.08817198648555555,0.09815225278769642,0.1297474816976893,0.09443782006884542,0.04975950558169011,0.17409964958919763,0.10032190676286655,0.10993775385965512,0.04343418593434085,0.07961474582712436,0.03228849028237797,0.03438686905652037,0.017424511088491496,0.06185946490386026,0.10719300611945508,0.05420117821475439,0.034666930901912474,0.0,0.011050838386713375,0.0,0.07538607261138057
miyakami,0.22646476158013495,0.21902149127868703,0.23077798810189462,0.22458724772995983,0.26478790312236383,0.2518943199334111,0.23762699982824642,0.3069985722206726,0.2149279968707415,0.13347700558107256,0.06385990833071048,0.03163027415718026,0.21607334487777205,0.2238706329552079,0.22285284560500063,0.031093302510575814,0.21259259824735185,0.14254064367005237,0.08692659282486907,0.09250801849230415,0.011263793208865022,0.18274020433994612,0.060275104547332155,0.01766867694817495,0.14426273209112322,0.0971168120208581,0.09557067137251289,0.04500113340018012,0.004481137629924865,0.0,0.047175705715958104,0.0071015513979470314,0.023042362151391178,0.08565807467189161,0.0903021848332994,0.0975279204886706,0.1123602115516207,0.08732754733213924,0.059366731248227576,0.09587762186652744
nakuru,0.313769832702819,0.30308191668651774,0.27403179264055094,0.19073252433429558,0.2700339234849625,0.21313543241801336,0.22490794838681769,0.18896052741585082,0.19706745185420235,0.0919250187635885,0.1867240223397227,0.22341018118767575,0.2084343302667825,0.20618334784433073,0.22355316514793455,0.2060243619931309,0.08925851229945794,0.11941446316926792,0.1369626601849251,0.09244341978988282,0.12310911754061328,0.08167652331254119,0.051009109714318684,0.13279147202885025,0.05939427166545231,0.09266508611559757,0.06357821398232062,0.03844442729141822,0.04410673424521688,0.04341988942476048,0.04770529383950321,0.03982520355434139,0.03728228073374915,0.03993562152582811,0.06604532406306435,0.08107443566587597,0.03158800750951331,0.03547729688698799,0.10487057990115628,0.0008817801654140779
okayama,0.23385578249760258,0.21593354735186832,0.11114653833416535,0.1748391162017654,0.035285525941926396,0.273796594667203,0.23412822896707522,0.2310867957605475,0.22353123684791026,0.22296747721852656,0.01780444659534533,0.08009965076624917,0.016364205934644428,0.0,0.0061289612556966,0.0,0.4175769204395456,0.25609882578710313,0.0,0.0,0.09287293023267502,0.08799702926674709,0.12385963937227273,0.0,0.31371573899848004,0.0,0.10020138442704521,0.15904381109276827,0.0,0.1576995941777397,0.08570110123461998,0.14450371819213526,0.0,0.0,0.0,0.0,0.2771786454228742,0.0,0.0,0.026641371249437648
